#Character ID	Max Speakers	Gender	Age	Status	Comment	Reference	FCBH Character
believers who were Pharisees	-1	Male	Adult			ACT 15:5
believers, circumcised (in Jerusalem)	-1	Male	Adult			ACT 11:3 & ACT 11:18
believers, one hundred twenty	120	PreferMale	Adult		Probably spoken by Peter or one of the other eleven disciples	ACT 1:24 & ACT 1:25
beloved	1	Female	Adult			SNG 1:2 <-(68 more)-> SNG 8:14
Belshazzar, king of Babylon	1	Male	Adult			DAN 5:2 <-(7 more)-> DAN 5:29
Ben-Hadad, king of Aram	1	Male			Ben-Hadad II (aka, Hadadezer or Adad-Idri); Aram = Syria	1KI 20:10 <-(11 more)-> 2CH 18:30	Ben Hadad
Benaiah, son of Jehoiada	1	Male				1KI 1:36 <-(1 more)-> 1KI 2:30
Benjamin	1	Male				GEN 43:28 <-(6 more)-> GEN 50:18
Benjamite messenger to Eli	1	Male				1SA 4:16 & 1SA 4:17
Benjamites	-1					JDG 20:32 & JDG 20:39
Bera, king of Sodom	1	Male				GEN 14:4 & GEN 14:21	King of Sodom
Berekiah	1	Male			leader in Ephraim	2CH 28:13
Bernice	1	Female				ACT 26:31
Beth Shemesh, men of	-1	Male				1SA 6:20
Beth Shemesh, messenger from	1	PreferMale				1SA 6:21
Beth-ezel	-1	Male				MIC 1:11
Bethlehem, elders of	-1	Male	Elder			1SA 16:4	Elder
Bethuel, Rebekah's father	1	Male	Adult			GEN 24:50 & GEN 24:51
Bildad the Shuhite	1	Male				JOB 8:2 <-(44 more)-> JOB 25:6
Birsha, king of Gomorrah	1	Male				GEN 14:4
blind man	1	Male	Adult			MRK 8:24
blind men, two	2	Male	Adult			MAT 9:27 & MAT 9:28	Man (Blind)
Boaz	1	Male	Adult			RUT 2:4 <-(21 more)-> RUT 4:10
Book of the Wars of Yahweh	1	PreferMale	Adult			NUM 21:14 & NUM 21:15
boys	-1	Male	Child			2KI 2:23	Youth
bride, the (referring to the Church)	-1	PreferFemale	Adult			REV 22:17
brother-in-law of widow	1	Male	Adult			DEU 25:8
brothers at Antioch	-1	Male	Adult			ACT 15:2 <-(2 more)-> ACT 15:40
brothers at Ephesus	-1	Male	Adult			ACT 18:27 & ACT 19:30
brothers at Lystra and Iconium	-1	Male	Adult			ACT 16:2
brothers at Puteoli	-1	Male	Adult			ACT 28:14
brothers at Rome	-1	Male	Adult			ACT 28:15
brothers at Thessalonica	-1	Male	Adult			ACT 17:10
brothers of beloved	-1	Male	Adult			SNG 8:8 & SNG 8:9
brothers who hate you	-1	Male	Adult			ISA 66:5
buyer	1	Either	Adult			PRO 20:14
bystanders at Calvary, some	-1		Adult			MAT 27:47 & MRK 15:35
bystanders at Calvary, the rest	-1		Adult			MAT 27:49
Caesar Augustus	1	Male	Adult			LUK 2:1
Caiaphas, the high priest	1	Male	Adult			MAT 26:62 <-(16 more)-> ACT 4:18	High Priest
Cain	1	Male	Adult			GEN 4:8 <-(2 more)-> GEN 4:14
Caleb	1	Male	Adult			NUM 13:30 <-(14 more)-> JDG 1:14
Canaanite (Syrophoenician) mother of possessed girl	1	Female	Adult			MAT 15:22 <-(3 more)-> MRK 7:28	Woman (Foreigner)
Canaanites	-1		Adult			GEN 50:11
captain of ship to Italy (Rome)	1	Male	Adult			ACT 27:12 <-(1 more)-> ACT 27:39
captain of ship to Tarshish	1	Male	Adult			JON 1:6 <-(4 more)-> JON 1:14	Captain
captain of the temple guard	1	Male	Adult			ACT 4:1 <-(1 more)-> ACT 5:26
captain, first	1	Male	Adult			2KI 1:9
captain, second	1	Male	Adult			2KI 1:11
captain, third	1	Male	Adult			2KI 1:13 & 2KI 1:14
captors, our	-1		Adult			PSA 137:3
