Control File Version	163
#	C	V	Character ID	Delivery	Alias	Quote Type	Default Character	Parallel Passage
# DEU Almost the whole book is by Moses -- In some Bibles, first level quotes are actually 2nd level -- see DEU 1.5
GEN	17	13	God		God (Yahweh)	Implicit		
GEN	17	14	God		God (Yahweh)	Implicit		
GEN	17	15	God		God (Yahweh)	Normal		
GEN	17	16	God		God (Yahweh)	Implicit		
GEN	17	17	Abraham (Abram)			Normal		
GEN	17	18	Abraham (Abram)			Normal		
GEN	17	19	God		God (Yahweh)	Normal		
GEN	17	20	God		God (Yahweh)	Implicit		
GEN	17	21	God		God (Yahweh)	Implicit		
GEN	18	3	Abraham (Abram)			Normal		
GEN	18	4	Abraham (Abram)			Implicit		
GEN	18	5	Abraham (Abram)			Normal		
GEN	18	5	Needs Review			Normal		
GEN	18	5	God			Alternate		
GEN	18	5	angels at Sodom, two/God		three men (two angels, plus Yahweh)	Alternate	angels at Sodom, two	
GEN	18	6	Abraham (Abram)			Normal		
GEN	18	9	Abraham (Abram)			Normal		
GEN	18	9	Needs Review			Normal		
GEN	18	9	God			Alternate		
GEN	18	9	angels at Sodom, two/God		three men (two angels, plus Yahweh)	Alternate	angels at Sodom, two	
GEN	18	10	God		God (Yahweh)	Normal		
GEN	18	12	Sarah (Sarai) (old)			Normal		
GEN	18	13	God		God (Yahweh)	Normal		
GEN	18	14	God		God (Yahweh)	Normal		
GEN	18	15	God		God (Yahweh)	Normal		
GEN	18	15	Sarah (Sarai) (old)			Normal		
GEN	18	17	God		God (Yahweh)	Normal		
GEN	18	18	God		God (Yahweh)	Implicit		
GEN	18	19	God		God (Yahweh)	Implicit		
GEN	18	20	God		God (Yahweh)	Normal		
GEN	18	21	God		God (Yahweh)	Implicit		
GEN	18	23	Abraham (Abram)			Normal		
GEN	18	24	Abraham (Abram)			Normal		
GEN	18	25	Abraham (Abram)			Normal		
GEN	18	26	God		God (Yahweh)	Normal		
GEN	18	27	Abraham (Abram)			Normal		
GEN	18	28	Abraham (Abram)			Normal		
GEN	18	28	God		God (Yahweh)	Normal		
GEN	18	29	Abraham (Abram)			Normal		
